time,dt,accel_x,accel_y,accel_z,union_g,gyro_x,gyro_y,gyro_z,pressure,temp,ag,ag,,,,-9.823794359
139.256132,0.011734,-0.026334,-0.117306,-9.750762,-9.751503,0.001065,-0.005325,0.003195,99259.59,25.97,0.072291359,0.077764,,,,
139.266784,0.010653,-0.040698,-0.126882,-9.813006,-9.813911,0.00213,-0.00426,0.00213,99259.59,25.97,0.009883359,0.015356,,,,
139.278057,0.011273,-0.014364,-0.09576,-9.798642,-9.79912,0,-0.00426,0.001065,99259.59,25.97,0.024674359,0.030147,,,,
139.289437,0.01138,-0.033516,-0.110124,-9.856098,-9.85677,0.00213,-0.005325,-0.001065,99259.59,25.97,-0.032975641,-0.027503,,,,
139.300305,0.010868,-0.03591,-0.186732,-9.805824,-9.807668,0.001065,-0.00213,0,99262.25,25.97,0.016126359,0.021599,,,,
139.311998,0.011694,-0.014364,-0.124488,-9.836946,-9.837744,-0.001065,-0.00426,-0.001065,99262.25,25.97,-0.013949641,-0.008477,,,,
139.322686,0.010688,-0.040698,-0.122094,-9.834552,-9.835394,0.00426,-0.00426,0.00213,99262.25,25.97,-0.011599641,-0.006127,,,,
139.333905,0.011218,0,-0.134064,-9.83934,-9.840253,0,-0.00213,-0.001065,99262.25,25.97,-0.016458641,-0.010986,,,,
139.345067,0.011162,-0.031122,-0.098154,-9.822582,-9.823122,0.00213,-0.005325,0.001065,99262.25,25.97,0.000672359,0.006145,,,,
139.356231,0.011164,-0.052668,-0.148428,-9.872856,-9.874112,0.00213,-0.005325,0.003195,99262.25,25.97,-0.050317641,-0.044845,,,,
139.367614,0.011383,-0.014364,-0.114912,-9.86328,-9.86396,0.001065,-0.005325,0.00426,99264.95,25.97,-0.040165641,-0.034693,,,,
139.378675,0.011061,-0.055062,-0.10773,-9.820188,-9.820933,0.00213,-0.00426,0.00426,99264.95,25.97,0.002861359,0.008334,,,,
139.389845,0.011171,-0.098154,-0.126882,-9.801036,-9.802349,0.001065,-0.00426,0.003195,99264.95,25.97,0.021445359,0.026918,,,,
139.40097,0.011124,-0.045486,-0.07182,-9.801036,-9.801405,0,-0.001065,0.005325,99264.95,25.97,0.022389359,0.027862,,,,
139.412131,0.011161,0,-0.069426,-9.796248,-9.796494,0.001065,-0.005325,0.00426,99264.95,25.97,0.027300359,0.032773,,,,
139.423425,0.011294,-0.040698,-0.028728,-9.820188,-9.820314,0.001065,-0.003195,0.00213,99264.95,25.97,0.003480359,0.008953,,,,
139.434681,0.011257,0.016758,-0.002394,-9.844128,-9.844143,0.00213,-0.00639,0.00213,99267.61,25.97,-0.020348641,-0.014876,,,,
139.445714,0.011033,-0.040698,0.01197,-9.832158,-9.83225,0.00213,-0.00426,0.003195,99267.61,25.97,-0.008455641,-0.002983,,,,
139.456936,0.011222,-0.004788,0.052668,-9.822582,-9.822724,0.003195,-0.00213,0.00426,99267.61,25.97,0.001070359,0.006543,,,,
139.468095,0.011159,-0.009576,-0.01197,-9.772308,-9.77232,0.003195,-0.00639,0.001065,99267.61,25.97,0.051474359,0.056947,,,,
139.479651,0.011556,-0.05985,-0.007182,-9.789066,-9.789252,0.001065,-0.00213,0.003195,99267.61,25.97,0.034542359,0.040015,,,,
